No,학교명,본분교명,학교종류,학교유형,설립유형,지역명,"입학정원(학부)
(2025,명)","졸업생수(학부)
(2025,명)","전임교원수(학부+대학원)
(2025,명)","재학생(학부)
(2025,명)","신입생 경쟁률(학부)
(2025,:1)","신입생 충원율(학부)
(2025,%)","취업률(학부)
(2024,%)","외국인 학생 수(학부)
(2025,명)","전임교원 1인당 학생 수(학생정원기준)(학부+대학원)
(2025,명)","전임교원 확보율(학생정원기준)(학부+대학원)
(2025,%)","전임 교원 확보율(재학생 기준)(학부+대학원)
(2025,%)","전임교원 강의 담당 비율(학부)
(2025,%)","학생 1인당 연간 장학금(학부)
(2025,원)","연평균 등록금(학부)
(2025,천원)","학생 1인당 교육비(학부+대학원)
(2025,천원)","기숙사 수용율(학부+대학원)
(2024,%)","학생 1인당 도서 자료 수(학부+대학원)
(2024,권)"
1,ICT폴리텍대학,본교,전문대학,기능대학,사립,경기,160,132,18,260,2.1,83.8,76.9,2,17.78,112.5,138.46,83.5,"2,375,089.9","2,500.0","31,808.9",84.9,34.7
2,가야대학교(고령),제2캠퍼스,대학,대학교,사립,경북,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,가야대학교(김해),본교,대학,대학교,사립,경남,405,444,66,"1,610",5.2,95.1,76.2,12,31.02,68.04,80.49,72.2,"4,194,323.9","7,239.3","14,446.2",29.0,136.5
4,가천대학교,본교,대학,대학교,사립,경기,"4,071","4,684",995,"22,520",22.9,100.0,69.6,"4,996",19.64,105.18,79.28,58.4,"3,715,314.3","8,812.6","15,492.1",13.0,52.1
5,가톨릭관동대학교,본교,대학,대학교,사립,강원,"1,815","1,423",355,"5,229",4.9,82.7,64.6,157,22.7,94.16,124.56,76.9,"4,242,607.4","7,505.4","16,419.4",42.8,118.2
6,가톨릭꽃동네대학교,본교,대학,대학교,사립,충북,108,89,23,418,5.3,96.4,74.4,2,24.65,85.19,95.83,71.1,"5,111,042.0","7,506.3","19,806.3",44.1,143.3
7,가톨릭대학교,본교,대학,대학교,사립,경기,"1,574","1,439",257,"7,843",15.6,100.0,63.3,"1,665",30.93,72.39,57.37,55.9,"3,530,438.5","7,493.6","28,497.0",22.1,106.4
8,가톨릭대학교,제2캠퍼스,대학,대학교,사립,서울,173,101,"1,011",912,29.4,100.0,88.1,0,2.73,495.59,577.71,75.0,"3,957,854.0","9,728.3",0.0,10.5,0.0
9,가톨릭대학교,제3캠퍼스,대학,대학교,사립,서울,50,31,15,197,1.7,100.0,0.0,9,28.53,83.33,100.0,61.2,"5,957,574.0","6,450.0",0.0,102.7,0.0
10,가톨릭상지대학교,본교,전문대학,전문대학,사립,경북,516,635,51,"1,732",3.8,94.8,80.4,102,30.16,67.11,61.45,47.1,"4,054,755.8","5,932.2","13,611.8",32.6,60.0
11,감리교신학대학교,본교,대학,대학교,사립,서울,192,170,24,564,1.9,100.0,0.0,3,68.96,35.82,38.71,66.8,"5,182,411.3","6,820.9","11,094.4",24.9,195.5
12,강남대학교,본교,대학,대학교,사립,경기,"1,491","1,554",206,"6,522",8.4,100.0,62.2,485,33.34,68.67,67.1,59.9,"3,645,505.2","7,968.4","14,525.4",14.7,83.1
13,강동대학교,본교,전문대학,전문대학,사립,충북,"1,191","1,200",85,"3,377",3.2,95.4,73.0,219,33.89,62.5,53.8,52.1,"4,139,991.8","5,901.9","9,339.4",23.6,48.6
14,강릉영동대학교,본교,전문대학,전문대학,사립,강원,774,760,68,"3,144",2.7,83.4,74.0,"1,514",31.06,64.76,43.31,55.5,"3,169,248.1","6,123.2","10,524.1",39.4,42.8
